Num of reads real,Coverage percentage,Num of mice,Num of samples,Samples-mice ratio,Score,Num of reads
24330815,80,1,27,27,0.702120869,24.330815
24380061,50,2,42,21,0.691944319,24.380061
24380061,50,2,42,21,0.877982272,24.380061
24444329,110,1,16,16,0.598753913,24.444329
24458837,110,1,16,16,0.575027587,24.458837
24645873,60,1,39,39,0.695557098,24.645873
24678968,130,1,20,20,0.627410726,24.678968
24688566,110,1,20,20,0.651149495,24.688566
24688566,110,1,20,20,0.849715492,24.688566
24695766,120,1,17,17,0.663953188,24.695766
24716532,60,2,35,17.5,0.753769825,24.716532
24849750,50,2,40,20,0.728146773,24.84975
25166836,40,2,53,26.5,0.744714923,25.166836
25166836,40,2,53,26.5,0.918328104,25.166836
25314099,120,1,18,18,0.646202924,25.314099
25518160,130,1,18,18,0.643436166,25.51816
25518160,130,1,18,18,0.869721162,25.51816
25531234,40,2,42,21,0.590180571,25.531234
25534692,40,2,48,24,0.738317699,25.534692
25534692,40,2,48,24,0.9316335,25.534692
25571791,40,1,47,47,0.780137463,25.571791
25571791,40,1,47,47,0.920203922,25.571791
25659285,80,1,26,26,0.662979784,25.659285
25755856,50,2,35,17.5,0.640578268,25.755856
25755856,50,2,35,17.5,0.959548833,25.755856
25839925,90,1,27,27,0.689375533,25.839925
25839925,90,1,27,27,0.876743579,25.839925
25900243,110,1,23,23,0.640744355,25.900243
25900243,110,1,23,23,0.850480766,25.900243
25962747,60,1,40,40,0.6392684,25.962747
26294194,100,1,23,23,0.681649774,26.294194
26577350,140,1,20,20,0.628076954,26.57735
26664212,100,1,23,23,0.700836333,26.664212
26664212,100,1,23,23,0.88242044,26.664212
26664232,100,1,26,26,0.640882778,26.664232
26664232,100,1,26,26,0.852842172,26.664232
26666541,120,1,16,16,0.593067009,26.666541
26682368,120,1,16,16,0.570014311,26.682368
26753746,130,1,17,17,0.654363018,26.753746
26932981,120,1,20,20,0.652200092,26.932981
26932981,120,1,20,20,0.85039587,26.932981
27116252,60,1,40,40,0.710735209,27.116252
27150382,70,1,29,29,0.651882696,27.150382
27229436,80,1,31,31,0.705796613,27.229436
27372167,90,1,27,27,0.724192577,27.372167
27395760,60,1,34,34,0.655574965,27.39576
27423607,130,1,18,18,0.64754949,27.423607
27452152,80,1,31,31,0.711679742,27.452152
27452152,80,1,31,31,0.885079924,27.452152
27481095,140,1,18,18,0.646243967,27.481095
27481095,140,1,18,18,0.871013123,27.481095
27602681,50,1,38,38,0.683305607,27.602681
27647861,50,2,35,17.5,0.645801147,27.647861
27647861,50,2,35,17.5,0.96376974,27.647861
27666897,50,1,38,38,0.666211046,27.666897
27715617,40,2,61,30.5,0.745173485,27.715617
27764793,60,1,34,34,0.712169735,27.764793
27781399,40,1,51,51,0.773682022,27.781399
27886909,50,2,42,21,0.725396955,27.886909
28062306,40,1,42,42,0.705807034,28.062306
28190304,40,1,43,43,0.632061056,28.190304
28254811,120,1,23,23,0.646023159,28.254811
28254811,120,1,23,23,0.852002165,28.254811
28375275,70,1,36,36,0.722225963,28.375275
28390455,50,2,44,22,0.746210069,28.390455
28390455,50,2,44,22,0.905321632,28.390455
28711028,100,1,27,27,0.705535256,28.711028
28711028,100,1,27,27,0.885495687,28.711028
