row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
 ENSMUSG00000022681,59.36996459079102,0.6540654866561034,0.7534588821206366,0.8680838492675447,0.3853484319142203,0.5348887094708056
 ENSMUSG00000030120,94.70268124701532,-0.6633048896126862,0.7646611380995348,-0.8674494577575155,0.38569579321410047,0.5352740749794676
 ENSMUSG00000019982,12.813593553944088,-1.354758597002866,1.562671820159753,-0.8669501679913625,0.3859693139697364,0.5355568427389185
 ENSMUSG00000037108,8.818714214017481,-1.1887913622295527,1.3723947077847103,-0.8662168073705807,0.38637127804972193,0.5360176993149586
 ENSMUSG00000033323,6.572095792027444,-1.1103225082581525,1.2826917144903331,-0.8656191473875153,0.38669905182926134,0.5363754828047362
 ENSMUSG00000020277,15.280743752941598,-1.0130563965839017,1.1706691300501186,-0.8653652604135301,0.3868383420189952,0.5364717458604891
 ENSMUSG00000034781,11.798647957554802,1.0346002412732993,1.1969456459044694,0.8643669366385521,0.38738634986272624,0.5371346859729564
 ENSMUSG00000010362,2.425320594560782,2.4454427665701846,2.832004734555542,0.8635023581462956,0.3878613234505709,0.5376961384877338
 ENSMUSG00000027162,30.050060698474574,0.8137846863981638,0.9427123302468879,0.8632375543290506,0.38800686972094206,0.5378007822278713
 ENSMUSG00000019659,215.35370509980802,0.39377597824394994,0.4565284125289616,0.8625442961208232,0.3883880684327479,0.5382319576258843
 ENSMUSG00000031681,10.134771608442039,1.4029556253307272,1.6271482106762911,0.8622174772558777,0.38856785390817444,0.5383839073283658
 ENSMUSG00000013858,6.426626891942958,-0.9654835583583181,1.1202527145453303,-0.861844426549926,0.3887731337881418,0.5385711198263448
 ENSMUSG00000004843,11.838530154699821,1.0536552810675748,1.223821808791048,0.8609548167052423,0.38926292880695545,0.5390840605123395
 ENSMUSG00000028868,154.20316505667955,0.41437873766233896,0.4813226259341598,0.860916805766413,0.3892838649582983,0.5390840605123395
 ENSMUSG00000018666,183.07698190117048,0.41992771237849047,0.48799603426290206,0.8605146003138612,0.3895054388030797,0.5391157953282946
 ENSMUSG00000020873,155.68613495890435,-0.6707370300770852,0.7794801722792274,-0.8604927410992721,0.3895174831801357,0.5391157953282946
 ENSMUSG00000039983,2.6152276714077427,1.5863399248293306,1.8434458579288815,0.8605297074531875,0.3894971149363849,0.5391157953282946
 ENSMUSG00000015247,78.07923679520316,-0.8641541121499006,1.004565090578344,-0.8602270975317222,0.38966387028114846,0.5392103630304583
 ENSMUSG00000037075,28.93322662441892,0.8154929746259166,0.9481221583597177,0.8601138233460824,0.38972630199231145,0.5392103630304583
 ENSMUSG00000026430,523.1809372258494,-0.3591425917808356,0.4181437682552215,-0.858897391391055,0.3903971287459401,0.5400411534067104
 ENSMUSG00000028961,15.136838720251987,-0.7246335214154371,0.8440114008664248,-0.8585589254737085,0.3905839075444544,0.5402021755515733
 ENSMUSG00000022820,43.186412931040614,-0.36426043818538273,0.4247548060982907,-0.8575781438034883,0.3911254479644339,0.5407562929710005
 ENSMUSG00000059363,4.493721200847244,0.9278033866612904,1.081786482946609,0.8576585132900774,0.39108105466108134,0.5407562929710005
 ENSMUSG00000035367,19.570120589152395,1.02867915877913,1.1998971997174306,0.8573060750715799,0.39127575196088527,0.5408666796419512
 ENSMUSG00000076895,2.268986474111929,-2.227017545563505,2.599103473409596,-0.8568406638470706,0.3915329490393255,0.5411247599614445
 ENSMUSG00000034194,6.410628620125636,1.695726558808155,1.9816564872000368,0.8557116582824685,0.3921572900397264,0.5418900735094401
 ENSMUSG00000024941,5.672695278216528,1.226738410776392,1.4350941123564076,0.8548139109581475,0.3926541757674853,0.5424790232525588
 ENSMUSG00000025332,29.708180169848852,-0.7805243423386796,0.9132807849400615,-0.8546378673563195,0.3927516572245753,0.5425160555796005
 ENSMUSG00000043131,206.19714379911133,-0.48232115176523477,0.5648535634298877,-0.8538870655900584,0.3931675669029561,0.5428951688337995
 ENSMUSG00000050079,22.358907049169172,-0.8509787704975017,0.9965868333069912,-0.8538932504994916,0.39316413965769,0.5428951688337995
 ENSMUSG00000042677,17.53799446863829,-0.707286884078739,0.8285352008553867,-0.8536594261155471,0.3932937214090299,0.5429716916431139
 ENSMUSG00000030357,204.39905080648592,-0.5050352716701753,0.5919266634619894,-0.8532058155927388,0.39354517890582547,0.5432211460674549
 ENSMUSG00000020719,3438.4460315865967,0.17725614040491203,0.2081228498295745,0.8516899540346565,0.3943861978323709,0.5442705398683433
 ENSMUSG00000028582,7.881760669699324,-1.073811899839127,1.2609641965909337,-0.8515800073802411,0.3944472398759241,0.5442705398683433
 ENSMUSG00000027937,176.20771366852588,-0.6010262594367232,0.7060070417865816,-0.8513034911320432,0.3946007861073108,0.5443845496333065
 ENSMUSG00000042790,4.524409060744265,1.1314412946062384,1.3308036634678126,0.8501940035676825,0.39521723501946043,0.5451370163538866
